☘️测试,#genre#
Global Trekker(HD),http://58.99.33.2:1935/liveedge4/TEeoKAVM_145_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
ROCK Action(HD),http://58.99.33.2:1935/liveedge4/TEeoKAVM_146_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
TRACE Sport Starts(HD),http://58.99.33.2:1935/liveedge4/TEeoKAVM_147_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
美食星球頻道(HD),http://58.99.33.2:1935/liveedge4/TEeoKAVM_148_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
寰宇財經台(HD),http://58.99.33.2:1935/liveedge4/TEeoKAVM_149_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
Fun探索娛樂台,http://58.99.33.2:1935/liveedge4/TEeoKAVM_150_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
民視第一台,http://58.99.33.2:1935/liveedge4/TEeoKAVM_151_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
民視台灣台(HD),http://58.99.33.2:1935/liveedge4/TEeoKAVM_152_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
TBC台中生活台,http://58.99.33.2:1935/liveedge4/TEeoKAVM_154_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
台視新聞台(HD),http://58.99.33.2:1935/liveedge4/TEeoKAVM_155_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
台視財經台(HD),http://58.99.33.2:1935/liveedge4/TEeoKAVM_156_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
台視綜合台,http://58.99.33.2:1935/liveedge4/TEeoKAVM_157_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
公視兒少台,http://58.99.33.2:1935/liveedge4/TEeoKAVM_159_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
中視新聞台,http://58.99.33.2:1935/liveedge4/TEeoKAVM_161_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
TaiwanPlus(HD),http://58.99.33.2:1935/liveedge4/TEeoKAVM_163_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
BBC NEWS,http://58.99.33.2:1935/liveedge4/TEeoKAVM_164_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
CNA,http://58.99.33.2:1935/liveedge4/TEeoKAVM_165_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
FRANCE 24(English),http://58.99.33.2:1935/liveedge4/TEeoKAVM_166_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
A-One (HD),http://58.99.33.2:1935/liveedge4/TEeoKAVM_167_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
LOVE NATURE,http://58.99.33.2:1935/liveedge4/TEeoKAVM_168_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
TV5MONDE,http://58.99.33.2:1935/liveedge4/TEeoKAVM_170_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
Arirang TV,http://58.99.33.2:1935/liveedge4/TEeoKAVM_171_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
亞洲旅遊台,http://58.99.33.2:1935/liveedge4/TEeoKAVM_172_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
好消息二台,http://58.99.33.2:1935/liveedge4/TEeoKAVM_203_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
Discovery Asia,http://58.99.33.2:1935/liveedge4/TEeoKAVM_200_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
Discovery 科學頻道,http://58.99.33.2:1935/liveedge4/TEeoKAVM_201_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
DMAX,http://58.99.33.2:1935/liveedge4/TEeoKAVM_202_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
DREAMWORKS,http://58.99.33.2:1935/liveedge4/TEeoKAVM_207_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
Cbeebies,http://58.99.33.2:1935/liveedge4/TEeoKAVM_209_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
AFN亞洲美食頻道,http://58.99.33.2:1935/liveedge4/TEeoKAVM_211_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
BBC Lifestyle Channel,http://58.99.33.2:1935/liveedge4/TEeoKAVM_214_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
EVE,http://58.99.33.2:1935/liveedge4/TEeoKAVM_215_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
HBO HD,http://58.99.33.2:1935/liveedge4/TEeoKAVM_220_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
HBO Signature,http://58.99.33.2:1935/liveedge4/TEeoKAVM_221_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
HBO Family,http://58.99.33.2:1935/liveedge4/TEeoKAVM_222_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
HBO Hits,http://58.99.33.2:1935/liveedge4/TEeoKAVM_223_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
TVN,http://58.99.33.2:1935/liveedge4/TEeoKAVM_225_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
博斯高球一台,http://58.99.33.2:1935/liveedge4/TEeoKAVM_242_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
博斯網球台,http://58.99.33.2:1935/liveedge4/TEeoKAVM_243_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
博斯運動二台,http://58.99.33.2:1935/liveedge4/TEeoKAVM_244_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
博斯高球二台,http://58.99.33.2:1935/liveedge4/TEeoKAVM_245_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
博斯無限台,http://58.99.33.2:1935/liveedge4/TEeoKAVM_246_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
博斯無限二台,http://58.99.33.2:1935/liveedge4/TEeoKAVM_247_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
博斯魅力網,http://58.99.33.2:1935/liveedge4/TEeoKAVM_248_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
松視4台,http://58.99.33.2:1935/liveedge4/TEeoKAVM_404_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
彩虹頻道,http://58.99.33.2:1935/liveedge4/TEeoKAVM_408_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
松視1台,http://58.99.33.2:1935/liveedge4/TEeoKAVM_405_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
松視2台,http://58.99.33.2:1935/liveedge4/TEeoKAVM_406_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
松視3台,http://58.99.33.2:1935/liveedge4/TEeoKAVM_407_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
玩家頻道,http://58.99.33.2:1935/liveedge4/TEeoKAVM_401_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
Happy,http://58.99.33.2:1935/liveedge4/TEeoKAVM_402_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
Hot,http://58.99.33.2:1935/liveedge4/TEeoKAVM_403_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
樂活頻道,http://58.99.33.2:1935/liveedge4/TEeoKAVM_410_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
潘朵啦高畫質玩美台,http://58.99.33.2:1935/liveedge4/TEeoKAVM_411_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
潘朵啦高畫質粉紅台,http://58.99.33.2:1935/liveedge4/TEeoKAVM_412_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
驚豔成人電影台,http://58.99.33.2:1935/liveedge4/TEeoKAVM_413_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
香蕉台,http://58.99.33.2:1935/liveedge4/TEeoKAVM_414_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
